ID,PRICE,LIVING_AREA,LOCATION,COORD
140572289,1090000,145.0,"Eckenheim, Frankfurt am Main","(50.1501788, 8.6830901)"
140450479,359000,94.77,"Frankfurter Berg, Frankfurt am Main","(50.1666804, 8.673822399999999)"
140358097,899000,196.0,"Diezer Str. 5, Heddernheim, Frankfurt am Main","(50.1575147, 8.6477566)"
140286047,4100000,406.2,"Sachsenhausen-Süd, Frankfurt am Main","(50.1011147, 8.685017799999999)"
140259218,899000,112.0,"Sachsenhausen-Nord, Frankfurt am Main","(50.1011147, 8.685017799999999)"
140180021,1100000,365.41,"Höchst, Frankfurt am Main","(50.10248199999999, 8.547457099999999)"
140178202,3950000,281.0,"Nordend-West, Frankfurt am Main","(50.1294372, 8.6832832)"
140081207,779000,113.0,"Akazienstraße 29, Griesheim, Frankfurt am Main","(50.0987987, 8.6010541)"
140000433,4400000,690.0,"Fechenheim, Frankfurt am Main","(50.1247735, 8.7574953)"
139927941,892500,256.0,"Seckbach, Frankfurt am Main","(50.1450463, 8.7236713)"
139848554,735000,120.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
139810807,675000,135.0,"Kolbenbergstraße 5, Praunheim, Frankfurt am Main","(50.1486108, 8.6215645)"
139546529,1040000,230.0,"Boskoopstr. 36, Preungesheim, Frankfurt am Main","(50.15798059999999, 8.6972728)"
139457224,899000,196.0,"Diezer Str. 5, Heddernheim, Frankfurt am Main","(50.1575147, 8.6477566)"
139383765,779000,120.0,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
139366938,790000,135.54,"Bonames, Frankfurt am Main","(50.18137660000001, 8.664562499999999)"
139202129,1500000,200.0,"Preungesheim, Frankfurt am Main","(50.1542684, 8.6976313)"
139190846,1200000,153.0,"Oberrad, Frankfurt am Main","(50.1002823, 8.7242791)"
139181444,890405,393.0,"Unterliederbach, Frankfurt am Main","(50.1077555, 8.5286805)"
139096930,370000,65.0,"Ligusterweg 34, Frankfurter Berg, Frankfurt am Main","(50.1651873, 8.6722731)"
138918317,1790000,240.0,"Westend-Süd, Frankfurt am Main","(50.1157078, 8.6591469)"
138321222,3960000,114.0,"Altstadt, Frankfurt am Main","(50.1100897, 8.6822492)"
138304166,850000,145.0,"Praunheim, Frankfurt am Main","(50.149333, 8.6188412)"
138280573,1750000,280.47,"Nieder-Erlenbach, Frankfurt am Main","(50.2031338, 8.7028716)"
138188120,2650000,225.27,"Nordend-West, Frankfurt am Main","(50.1294372, 8.6832832)"
138111680,790000,135.0,"Klosterhofstr. 168, Zeilsheim, Frankfurt am Main","(50.090865, 8.500357300000001)"
137878324,1250000,292.11,"Kalbach-Riedberg, Frankfurt am Main","(50.1863086, 8.6493991)"
137798545,799000,158.0,"Ginnheim, Frankfurt am Main","(50.1424791, 8.6475496)"
137679850,2700000,560.0,"Frankfurter Berg, Frankfurt am Main","(50.1666804, 8.673822399999999)"
137581441,499000,90.57,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
137548601,3700000,114.0,"Altstadt, Frankfurt am Main","(50.1100897, 8.6822492)"
137429495,2300000,601.0,"Nieder-Eschbach, Frankfurt am Main","(50.1986096, 8.6706668)"
137060653,815000,140.0,"Niederrad, Frankfurt am Main","(50.083698, 8.6443596)"
137045136,3100000,398.0,"Höchst, Frankfurt am Main","(50.10248199999999, 8.547457099999999)"
137029429,2590000,424.0,"Dornbusch, Frankfurt am Main","(50.1479878, 8.6663255)"
136906357,595000,130.0,"Hausen, Frankfurt am Main","(50.13494739999999, 8.6270024)"
136363026,1185000,143.0,"Unterliederbach, Frankfurt am Main","(50.1077555, 8.5286805)"
